Q_GEN_PATH_GEN_INFLAMM_001 | ok |
Q_GEN_PATH_SYS_CNS_024 | ok |
Q_GEN_PATH_SYS_CNS_025 | ok |
Q_c1_002 | ok |
Q_GEN_PATH_SYS_LIVER_001 | ok |
Q_GEN_PATH_SYS_LIVER_002 | ok |
Q_GEN_PATH_SYS_LIVER_003 | ok |
Q_GEN_PATH_SYS_LIVER_004 | ok |
Q_GEN_PATH_SYS_LIVER_005 | ok |
Q_GEN_PATH_SYS_LIVER_006 | ok |
Q_GEN_PATH_SYS_LIVER_007 | ok |
Q_GEN_PATH_SYS_LIVER_008 | ok |
Q_GEN_PATH_SYS_LIVER_009 | ok |
Q_GEN_PATH_SYS_LIVER_010 | ok |
Q_GEN_PATH_SYS_LIVER_011 | ok |
Q_GEN_PATH_SYS_LIVER_012 | ok |
Q_GEN_PATH_SYS_LIVER_013 | ok |
Q_GEN_PATH_SYS_LIVER_014 | ok |
Q_GEN_PATH_SYS_LIVER_015 | ok |
Q_GEN_PATH_SYS_LIVER_016 | ok |
Q_GEN_PATH_SYS_LIVER_017 | ok |
Q_GEN_PATH_SYS_LIVER_018 | ok |
Q_GEN_PATH_SYS_LIVER_019 | ok |
Q_GEN_PATH_SYS_LIVER_020 | ok |
Q_GEN_PATH_SYS_LIVER_021 | ok |
Q_GEN_PATH_SYS_LIVER_022 | ok |
Q_GEN_PATH_SYS_LIVER_023 | ok |
Q_GEN_PATH_SYS_LIVER_024 | ok |
Q_c1_023 | ok |
Q_GEN_PATH_SYS_RENAL_001 | ok |
Q_GEN_PATH_SYS_RENAL_002 | ok |
Q_GEN_PATH_SYS_RENAL_003 | ok |
Q_GEN_PATH_SYS_RENAL_004 | ok |
Q_GEN_PATH_SYS_RENAL_005 | ok |
Q_GEN_PATH_SYS_RENAL_006 | ok |
Q_GEN_PATH_SYS_RENAL_007 | ok |
Q_GEN_PATH_SYS_RENAL_008 | ok |
Q_GEN_PATH_SYS_RENAL_009 | ok |
Q_GEN_PATH_SYS_RENAL_010 | ok |
Q_GEN_PATH_SYS_RENAL_011 | ok |
Q_GEN_PATH_SYS_RENAL_012 | ok |
Q_GEN_PATH_SYS_RENAL_013 | ok |
Q_GEN_PATH_SYS_RENAL_014 | ok |
Q_GEN_PATH_SYS_RENAL_015 | ok |
Q_GEN_PATH_SYS_RENAL_016 | ok |
Q_GEN_PATH_SYS_RENAL_017 | ok |
Q_GEN_PATH_SYS_RENAL_018 | ok |
Q_GEN_PATH_SYS_RENAL_019 | ok |
Q_GEN_PATH_SYS_RENAL_020 | ok |
Q_GEN_PATH_SYS_RENAL_021 | ok |
Q_GEN_PATH_SYS_RENAL_022 | ok |
Q_GEN_PATH_SYS_RENAL_023 | ok |
Q_GEN_PATH_SYS_RENAL_024 | ok |
Q_GEN_PATH_SYS_RENAL_025 | ok |
Q_GEN_PATH_SYS_RENAL_026 | ok |
Q_c1_021 | ok |
Q_c1_009 | stem=A renal biopsy stained with Congo red and viewed under polarized light shows apple-green birefringence in glomeruli and vessel walls. The deposited protein is arranged in which configuration? | removed leftover 'IMAGE-DESCRIBED:' authoring prefix; stem already describes the findings in words so it is self-contained (plan 5.3)
Q_c1_014 | stem=A 35-year-old with pancytopenia and mucosal bleeding has a marrow smear showing abnormal promyelocytes packed with pink, needle-like Auer rods, some in bundles ('faggot cells'). The genetic lesion and specific therapy are? | removed leftover 'IMAGE-DESCRIBED:' authoring prefix; stem already describes the findings in words so it is self-contained (plan 5.3)
Q_GEN_PATH_HEM_LYMPHOMA_001 | ok |
Q_GEN_PATH_HEM_LYMPHOMA_002 | ok |
Q_GEN_PATH_HEM_LYMPHOMA_003 | ok |
Q_GEN_PATH_HEM_LYMPHOMA_004 | ok |
Q_GEN_PATH_HEM_LYMPHOMA_005 | ok |
Q_GEN_PATH_HEM_LYMPHOMA_006 | ok |
Q_GEN_PATH_HEM_LYMPHOMA_007 | ok |
Q_GEN_PATH_HEM_LYMPHOMA_008 | ok |
Q_GEN_PATH_HEM_LYMPHOMA_009 | ok |
Q_GEN_PATH_HEM_LYMPHOMA_010 | ok |
Q_GEN_PATH_HEM_LYMPHOMA_011 | ok |
Q_GEN_PATH_HEM_LYMPHOMA_012 | ok |
Q_GEN_PATH_HEM_LYMPHOMA_013 | ok |
Q_GEN_PATH_HEM_LYMPHOMA_014 | ok |
Q_GEN_PATH_HEM_LYMPHOMA_015 | ok |
Q_GEN_PATH_HEM_LYMPHOMA_016 | ok |
Q_GEN_PATH_HEM_LYMPHOMA_017 | ok |
Q_GEN_PATH_HEM_LYMPHOMA_018 | ok |
Q_GEN_PATH_HEM_LYMPHOMA_019 | ok |
Q_GEN_PATH_HEM_LYMPHOMA_020 | ok |
Q_GEN_PATH_HEM_LYMPHOMA_021 | ok |
Q_GEN_PATH_HEM_LYMPHOMA_022 | ok |
Q_GEN_PATH_HEM_LYMPHOMA_023 | ok |
Q_c1_016 | ok |
Q_c1_006 | ok |
Q_c1_007 | ok |
